DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE
2021-02-18,3131.74,3140.4,3086.66,3086.66,1860566763,18141179541559
2021-02-19,3089.96,3109.67,3040.28,3107.62,3455504510,19720469896420
2021-02-22,3114.03,3142.48,3079.16,3079.75,1831955903,18224657363683
2021-02-23,3069.26,3094.29,3035.46,3070.09,2357758937,17661157780811
2021-02-24,3070.58,3092.05,2993.46,2994.98,1560930531,21519850514936
2021-02-25,3026.47,3099.8,3026.47,3099.69,1280086204,17213950572579
2021-02-26,3089.49,3089.49,2988.28,3012.95,1361310125,21504876380743
2021-03-02,3021.68,3096.5,3020.74,3043.87,1749871004,18852145433691
2021-03-03,3041.2,3083.04,3029.37,3082.99,2236687870,14714276467293
2021-03-04,3076.88,3076.88,3022.54,3043.49,1278951816,17149583437712
2021-03-05,3036.16,3036.98,2982.45,3026.26,1187225784,16767185165723
2021-03-08,3031.99,3055.65,2992.64,2996.11,1928301671,15786853367707
2021-03-09,2989.96,3000.49,2929.36,2976.12,1534217947,18419498625731
2021-03-10,2980.76,3013.95,2951.53,2958.12,905646664,13586638415968
2021-03-11,2964.3,3028.37,2964.3,3013.7,1349204346,16024119785739
2021-03-12,3030.73,3061.43,3030.73,3054.39,1669085134,13112978852891
2021-03-15,3057.06,3065.17,3036.14,3045.71,1161784415,12580943761174
2021-03-16,3049.23,3071.54,3049.23,3067.17,1123921806,12930136216106
2021-03-17,3067.76,3069.57,3027.2,3047.5,814990951,13933301393395
2021-03-18,3054.93,3090.19,3054.93,3066.01,1232596191,15133171560954
2021-03-19,3063.01,3063.01,3022.49,3039.53,1068468282,16337600202826
2021-03-22,3040.01,3048.11,3019.6,3035.46,915739433,13348889480085
2021-03-23,3038.25,3058.79,3003.05,3004.74,1331209584,16167128433823
2021-03-24,2996.32,3006.54,2971.04,2996.35,978431301,13400024889568
2021-03-25,2995.67,3024.63,2987.83,3008.33,940353597,13434687983902
2021-03-26,3012.79,3041.86,3012.79,3041.01,1036383014,15837825243148
2021-03-29,3047.71,3054.21,3025.39,3036.04,1288846446,16736098172838
2021-03-30,3038.44,3074.57,3038.44,3070.0,1023074579,14149217413321
2021-03-31,3073.39,3093.89,3061.4,3061.42,1146989209,14537437651883
2021-04-01,3073.77,3090.88,3069.68,3087.4,922680368,14035773701355
2021-04-02,3104.72,3121.58,3101.6,3112.8,792704597,13442350502786
2021-04-05,3121.23,3127.2,3101.86,3120.83,1084791620,13010540308532
2021-04-06,3123.8,3139.29,3110.19,3127.08,1279017405,13676601737626
2021-04-07,3129.07,3146.19,3125.33,3137.41,1984773884,14490176790450
2021-04-08,3137.25,3145.81,3122.09,3143.26,1357293283,17080031242959
2021-04-09,3146.51,3156.04,3125.24,3131.88,1823162245,15093694721352
2021-04-12,3134.88,3147.27,3127.91,3135.59,1048782935,13288261318780
2021-04-13,3138.21,3173.26,3136.99,3169.08,1741348018,16363773274030
2021-04-14,3169.95,3188.32,3162.12,3182.38,1776265333,15552014115192
2021-04-15,3180.73,3204.48,3178.99,3194.33,1312991973,17671286861080
2021-04-16,3194.08,3206.76,3185.67,3198.62,985278196,15542110564312
2021-04-19,3201.11,3214.45,3193.4,3198.84,1060619231,15378168999665
2021-04-20,3198.31,3220.82,3195.96,3220.7,1296160097,14508206276523
2021-04-21,3214.24,3214.24,3165.49,3171.66,1767090522,16916024229372
2021-04-22,3174.52,3196.97,3174.52,3177.52,1752691683,14862861768154
2021-04-23,3173.47,3188.7,3146.54,3186.1,2253793002,15653205960793
2021-04-26,3191.34,3217.53,3191.34,3217.53,1298330413,15753767940288
2021-04-27,3218.3,3223.05,3203.25,3215.42,1534230437,17177221132485
2021-04-28,3217.21,3219.69,3176.55,3181.47,1412620981,18379828680878
2021-04-29,3184.75,3200.41,3161.06,3174.07,1222430217,19126666675110
2021-04-30,3176.43,3179.43,3143.38,3147.86,1359455178,19207526228810
2021-05-03,3149.05,3174.26,3120.7,3127.2,1041199113,16975830860649
2021-05-04,3131.39,3147.38,3109.78,3147.37,1283829879,15962437460373
2021-05-06,3147.72,3178.74,3133.64,3178.74,1239403331,16626445399689
2021-05-07,3179.63,3205.11,3179.63,3197.2,989680146,15206303479328
2021-05-10,3201.46,3255.9,3201.46,3249.3,1011267140,17187181714045
2021-05-11,3239.92,3239.92,3192.25,3209.43,1096717744,21883489899031
2021-05-12,3209.36,3212.83,3138.04,3161.66,1424059107,22458066045899
2021-05-13,3146.97,3161.93,3103.88,3122.11,1095948091,21059803806076
2021-05-14,3131.35,3162.31,3131.35,3153.32,836404050,14493543694716
2021-05-17,3163.21,3173.01,3121.32,3134.52,771305645,14552523724082
2021-05-18,3135.38,3176.4,3135.38,3173.05,786143415,13898610218787
2021-05-20,3174.53,3174.53,3140.48,3162.28,774252245,13719656585417
2021-05-21,3171.91,3198.01,3149.46,3156.42,797262205,14789457191323
2021-05-24,3155.91,3163.27,3137.81,3144.3,587968268,11604047358277
2021-05-25,3152.93,3173.1,3148.3,3171.32,612976970,11728027229513
2021-05-26,3171.91,3183.97,3160.3,3168.43,1269999045,13173015885449
2021-05-27,3170.84,3173.86,3142.37,3165.51,1082006090,20682335393904
2021-05-28,3172.09,3198.66,3171.85,3188.73,966367978,13533299075577
2021-05-31,3192.06,3204.29,3179.87,3203.92,1123524809,14017446050339
2021-06-01,3207.12,3233.17,3199.18,3221.87,1472570767,15270803742087
2021-06-02,3224.4,3241.07,3216.1,3224.23,1495671343,17740841975268
2021-06-03,3224.96,3258.5,3224.96,3247.43,1584799068,16890461822422
2021-06-04,3246.17,3246.19,3218.67,3240.08,1392319539,16051031275689
2021-06-07,3244.59,3264.41,3233.4,3252.12,1733348139,19023221710305
